Nombre;CAP (MM);Sector;Nombre Completo;;;;
BBAR;2034595723831350.00;Financiero;BBVA Banco Frances;;;;
BMA;3498390608520000.00;Financiero;Banco Macro;;;;
BYMA;1114393750000000.00;Financiero;Bolsas y Mercados Argentinos;;;;
CEPU;1628103832989600.00;Suministros;Central Puerto;;;;
COME;334981966128000.00;Energía;Comercial del Plata;;;;
CRES;592409445030400.00;Consumo no cíclico;Cresud;;;;
CVH;556406071333000.00;Tecnología;Cablevisión;;;;
EDN;798496297590000.00;Suministros;Edenor;;;;
GGAL;3832114239006900.00;Financiero;Grupo Financiero Galicia;;;;
HARG;434319705625000.00;Materiales básicos;Holcim Argentina;;;;
LOMA;889509933676000.00;Materiales básicos;Loma Negra;;;;
MIRG;249930000000000.00;Tecnología;Mirgor;;;;
PAMP;2646220307062500.00;Suministros;Pampa Energía;;;;
SUPV;509608529686800.00;Financiero;Grupo Supervielle S.A.;;;;
TGNO4;966622665800000.00;Energía;Trans. Gas Norte;;;;
TGSU2;2770285877528550.00;Energía;Trans. Gas Sur;;;;
TRAN;261359231326500.00;Suministros;Transener;;;;
TXAR;3688207269779500.00;Materiales básicos;Ternium Argentina;;;;
VALO;225588972252000.00;Financiero;Banco de Valores;;;;
YPFD;86813966234925.00;Energía;YPF;;;;
ALUA;2381400000000000.00;Materiales básicos;Aluar;;;;
AGRO;4875000000000.00;Industriales;Agrometal;;;;
AUSO;88238325360000.00;Industriales;Autopistas del Sol;;;;
BHIP;501000000000000.00;Financiero;Banco Hipotecario;;;;
BOLT;156907568821200.00;Industriales;Boldt;;;;
BPAT;949271712840000.00;Financiero;Banco Patagonia;;;;
CADO;63448000000000.00;Consumo no cíclico;Carlos Casado;;;;
CAPX;843902010567000.00;Energía;Capex;;;;
CARC;32530406345200.00;Materiales básicos;Carboclor;;;;
CELU;70909074260000.00;Materiales básicos;Celulosa Argentina;;;;
CTIO;709958454628000.00;Inmobiliaria;Consultatio;;;;
DOME;5650000000000.00;Consumo cíclico;Artefactos Domesticos;;;;
DYCA;12705000000000.00;Industriales;Dycasa;;;;
EDLH;1029492323680.00;Suministros;EDESAL;;;;
FERR;96120500000000.00;Consumo cíclico;Ferrum;;;;
FIPL;38246560567500.00;Materiales básicos;Fiplasto SA;;;;
GBAN;171797204814000.00;Suministros;Naturgy BAN;;;;
GCDI;28073464922450.00;Inmobiliaria;GCDI;;;;
GCLA;142174271010000.00;Consumo cíclico;Grupo clarin;;;;
GRIM;37439849330000.00;Consumo cíclico;Grimoldi;;;;
INAG;;Materiales básicos;Insumos Agroquimicos;;;;
INTR;32874796600500.00;Consumo no cíclico;Compania Introductora de BA;;;;
INVJ;281447151957000.00;Consumo no cíclico;Inversora Juramento;;;;
IRSA;848764204713000.00;Inmobiliaria;IRSA;;;;
LEDE;392225114568000.00;Consumo no cíclico;Ledesma;;;;
LONG;7697439801300.00;Consumo cíclico;Longvie;;;;
METR;213632721272000.00;Suministros;Metrogas SA;;;;
MOLA;876433161556000.00;Consumo no cíclico;Molinos Agro;;;;
MOLI;621567081922000.00;Consumo no cíclico;Molinos;;;;
MORI;38127247934500.00;Consumo no cíclico;Morixe Hermanos;;;;
MTR;159857460000000.00;Financiero;Matba Rofex;;;;
OEST;167680000000000.00;Industriales;GCO;;;;
PATA;485000000000000.00;Consumo no cíclico;SAIEP;;;;
PGR;;Energía;Phoenix Resources;;;;
POLL;2953381240000.00;Industriales;Polledo;;;;
RICH;12573358050000.00;Salud;Laboratorios Richmond;;;;
RIGO;143613678780000.00;Materiales básicos;Rigolleau;;;;
SAMI;51620041794000.00;Consumo no cíclico;San Miguel;;;;
SEMI;18336120000000.00;Consumo no cíclico;Molinos Juan Semino;;;;
TECO2;3508788507521200.00;Tecnología;Telecom Argentina S.A.;;;;
HAVA;75114838799000.00;Consumo cíclico;Havanna Holding SA;;;;
CECO2;261490670805000.00;Suministros;Central Costanera SA;;;;
CGPA2;577242776868000.00;Suministros;Camuzzi Gas Pampeana SA;;;;
DGCU2;213682960128000.00;Suministros;Distribuidora de Gas Cuyana SA;;;;
GAMI;72505000000000.00;Tecnología;BGaming SA;;;;
